ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,316,KM.TXT,0.46939,0.13939,0.21495,1
,,,,,,
ROUGE-2+StopWordRemoval,316,KM.TXT,0.17021,0.04878,0.07583,1
,,,,,,
ROUGE-L+StopWordRemoval,437,KM.TXT,0.3125,0.12821,0.18182,1
,,,,,,
ROUGE-1+StopWordRemoval,437,KM.TXT,0.42105,0.16327,0.23529,1
,,,,,,
ROUGE-2+StopWordRemoval,437,KM.TXT,0.13889,0.05155,0.07519,1
,,,,,,
ROUGE-L+StopWordRemoval,317,KM.TXT,0.20833,0.05747,0.09009,1
,,,,,,
ROUGE-1+StopWordRemoval,317,KM.TXT,0.36,0.09474,0.15,1
,,,,,,
ROUGE-2+StopWordRemoval,317,KM.TXT,0.13043,0.03191,0.05128,1
,,,,,,
ROUGE-L+StopWordRemoval,438,KM.TXT,0.17143,0.08451,0.11321,1
,,,,,,
ROUGE-1+StopWordRemoval,438,KM.TXT,0.38889,0.16867,0.23529,1
,,,,,,
ROUGE-2+StopWordRemoval,438,KM.TXT,0.02941,0.0122,0.01724,1
,,,,,,
ROUGE-L+StopWordRemoval,318,KM.TXT,0.27778,0.10417,0.15152,1
,,,,,,
ROUGE-1+StopWordRemoval,318,KM.TXT,0.46341,0.13475,0.20879,1
,,,,,,
ROUGE-2+StopWordRemoval,318,KM.TXT,0.12821,0.03571,0.05587,1
,,,,,,
ROUGE-L+StopWordRemoval,439,KM.TXT,0.21875,0.09722,0.13462,1
,,,,,,
ROUGE-1+StopWordRemoval,439,KM.TXT,0.37143,0.15663,0.22034,1
,,,,,,
ROUGE-2+StopWordRemoval,439,KM.TXT,0.12121,0.04878,0.06957,1
,,,,,,
ROUGE-L+StopWordRemoval,319,KM.TXT,0.46429,0.20968,0.28889,1
,,,,,,
ROUGE-1+StopWordRemoval,319,KM.TXT,0.62069,0.23377,0.33962,1
,,,,,,
